username,comentario,data,likes
vallcarvalho28,@adrianadias063 aprovete,2026-04-24 17:59:08+00:00,0
vallcarvalho28,@raiany.benevides.7,2026-04-24 17:59:34+00:00,1
medeirosmarcillene,@joyce.alves2608 @anne08lima,2026-04-15 12:06:27+00:00,1
medeirosmarcillene,@erikanunes222 @jamylleredig,2026-04-15 12:48:38+00:00,0
mauricia__silva__,@medeirosmarcillene @_thamilly.ls,2026-04-15 13:38:11+00:00,1
medeirosmarcillene,@mauricia__silva__ @malourdes71,2026-04-15 11:35:21+00:00,1
alyneribeiro2,@sariinha.alves @eldeiza_gomes,2026-04-12 17:57:26+00:00,1
marcia.oliveira028,@valdia38 @jaquevidal123,2026-04-08 20:13:04+00:00,1
medeirosmarcillene,@dudda_maryah @emillyduarte2432,2026-04-15 12:59:38+00:00,1
_graribeiroo,@ivoneteelsa @vieirasilvamendes,2026-04-13 00:45:54+00:00,1
sousageo5,@medeirosmarcillene @jucianemoraesde,2026-04-15 10:42:05+00:00,1
medeirosmarcillene,@pyetra_moreira_de_souza @dayanaribeirodesena,2026-04-15 12:34:26+00:00,1
medeirosmarcillene,@gaiamichele @jemimaguimaraesdo,2026-04-15 12:35:34+00:00,1
medeirosmarcillene,@aandreiaffreitas @anapaulacaldasrodrigues,2026-04-15 12:35:00+00:00,1
medeirosmarcillene,@lene_choch02 @liviasantos.cr,2026-04-15 10:33:17+00:00,1
medeirosmarcillene,@mato_sddebora @grazielastefany58,2026-04-15 12:33:25+00:00,1
medeirosmarcillene,@joilma.pereira.796 @josietessantos15,2026-04-15 10:34:43+00:00,1
medeirosmarcillene,@andresaalho @juh_da_cruz_,2026-04-15 12:33:56+00:00,1
medeirosmarcillene,@leizianecarvalhogoncalves @neylsamendes23,2026-04-15 12:31:42+00:00,1
medeirosmarcillene,@rositacarreiro @irmajanenabut,2026-04-15 12:13:50+00:00,1
medeirosmarcillene,@celia_maria_1210 @patricia_dos_santos_53433,2026-04-15 11:05:01+00:00,1
medeirosmarcillene,@cristiane_maria141 @jennyalmei_da,2026-04-15 12:32:10+00:00,1
medeirosmarcillene,@katialuciana463 @ivonete.anjos.921,2026-04-15 12:32:51+00:00,1
medeirosmarcillene,@josianelimadallo @lanaalmondess__,2026-04-15 10:57:08+00:00,1
medeirosmarcillene,@samy_.ribeiro0 @telesfariaszenaide,2026-04-15 10:32:24+00:00,1
medeirosmarcillene,@day.anny_29 @denilma01,2026-04-15 10:59:26+00:00,1
medeirosmarcillene,@eubelsilva5608 @rafaelacosta9345,2026-04-15 12:15:15+00:00,1
medeirosmarcillene,@aesb0284 @021_buenok,2026-04-15 10:59:08+00:00,1
medeirosmarcillene,@layss4650 @ariely_00x,2026-04-15 12:28:50+00:00,1
irmascageoeju,@robert_a_silvaa @roseane.sun,2026-05-19 12:48:49+00:00,0
irmascageoeju,@ro_bertaa2 @_maezinhadaalice,2026-05-19 12:48:40+00:00,0
irmascageoeju,@julianarodrigues1305 @neiidy_augustin,2026-05-19 10:15:58+00:00,0
irmascageoeju,@monicacsgrass @robert_a_silvaa,2026-05-19 10:15:48+00:00,0
irmascageoeju,@ednalvasilva47 @mara.jesus659,2026-05-19 10:15:37+00:00,0
irmascageoeju,@elisabethraymundo @fernandes.ana.claudia,2026-05-19 10:15:19+00:00,0
irmascageoeju,@ednalvasilva47 @elisouza184,2026-05-19 10:15:09+00:00,0
irmascageoeju,@rai_any.1997 @juuliaxz1,2026-05-19 10:14:57+00:00,0
irmascageoeju,@vanda.379 @roberta.gs7,2026-05-19 10:14:47+00:00,0
irmascageoeju,@aneh.silva14 @mima22santos,2026-05-19 10:14:39+00:00,0
irmascageoeju,@car092023 @karcarmo1982,2026-05-19 10:14:28+00:00,0
irmascageoeju,@juliana442789 @geovana_pass,2026-05-19 10:14:24+00:00,0
irmascageoeju,@juuh_passo @veronii_ca18 @juuliaxz1,2026-05-19 10:10:45+00:00,0
car092023,@menina_abencoada2004 @mima22santos,2026-05-16 13:29:12+00:00,0
car092023,@mamaedeprincipe10 @michelly_correia9230,2026-05-16 13:29:03+00:00,0
car092023,@leticiah_marinho @eli_lemoni,2026-05-16 13:28:39+00:00,0
car092023,@karla_victo @leilabs19,2026-05-16 13:28:26+00:00,0
car092023,@julianapink_809 @ane.jsil,2026-05-16 13:28:06+00:00,0
car092023,@irmascageoeju @joelmammartins,2026-05-16 13:27:50+00:00,0
car092023,@juliana.darosa.395 @juulianaapereira1011,2026-05-16 13:27:36+00:00,0
car092023,@helen.gaby19 @juliana442789,2026-05-16 13:27:30+00:00,0
car092023,@heloise_meyer_cercal @xavierhellen35,2026-05-16 13:27:22+00:00,0
car092023,@ray_anne.sg @uma_ariana__,2026-05-16 13:27:13+00:00,0
car092023,@girl_rosinha @gerlanne1209,2026-05-16 13:27:06+00:00,0
j_victor1811,@rejane544 @lafayellelimarocha,2026-05-13 19:13:40+00:00,0
j_victor1811,@mariaoliveira7197 @cristiane.ribeiiro,2026-05-13 19:13:30+00:00,0
j_victor1811,@lucinavarela @marleide.alexandre.9,2026-05-13 19:13:17+00:00,0
j_victor1811,@mariado728carmo @erikacraveiro.nutri,2026-05-13 19:13:10+00:00,0
j_victor1811,@beezusalbuquerque  @limaadrica,2026-05-13 19:12:58+00:00,0
j_victor1811,@nanda.ialves25  @ftxalves,2026-05-13 19:12:48+00:00,0
ftxalves,@lafayellelimarocha @robertha.teixeira,2026-05-13 19:05:23+00:00,0
ftxalves,@cristiane.ribeiiro @rejane544,2026-05-13 19:05:09+00:00,0
ftxalves,@marleide.alexandre.9 @mariaoliveira7197,2026-05-13 19:04:59+00:00,0
ftxalves,@erikacraveiro.nutri @lucinavarela,2026-05-13 19:04:43+00:00,0
ftxalves,@limaadrica @mariado728carmo,2026-05-13 19:04:28+00:00,0
ftxalves,@nanda.ialves25  @beezusalbuquerque,2026-05-13 19:04:15+00:00,0
joseedson.21,@lafayellelimarocha @robertha.teixeira,2026-05-13 18:49:56+00:00,0
joseedson.21,@cristiane.ribeiiro @rejane544,2026-05-13 18:49:43+00:00,0
joseedson.21,@marleide.alexandre.9 @mariaoliveira7197,2026-05-13 18:49:36+00:00,0
joseedson.21,@erikacraveiro.nutri  @lucinavarela,2026-05-13 18:49:29+00:00,0
joseedson.21,@silva_andreia349 @beezusalbuquerque,2026-05-13 18:49:16+00:00,0
joseedson.21,@ftxalves @nanda.ialves25,2026-05-13 18:49:08+00:00,0
joseedson.21,@aimeellen @jeaneh.07031999,2026-05-13 18:49:03+00:00,0
nanda.ialves25,@rejane544 @lafayellelimarocha,2026-05-13 17:50:40+00:00,0
nanda.ialves25,@mariaoliveira7197 @cristiane.ribeiiro,2026-05-13 17:50:27+00:00,0
nanda.ialves25,@lucinavarela @marleide.alexandre.9,2026-05-13 17:50:11+00:00,0
nanda.ialves25,@mariado728carmo @erikacraveiro.nutri,2026-05-13 17:49:58+00:00,0
nanda.ialves25,@beezusalbuquerque @limaadrica,2026-05-13 17:49:38+00:00,0
nanda.ialves25,@aimeellen @ericasousafirmino,2026-05-13 17:49:30+00:00,0
nanda.ialves25,@ftxalves @dayanekellypraciano,2026-05-13 17:49:26+00:00,0
jocimaria30,@kethelysantous @tatyanneduartes,2026-05-13 00:54:56+00:00,0
jocimaria30,@limadossantosbrandao @marcia__regina16,2026-05-13 00:53:31+00:00,0
jocimaria30,@janinhareis_ @zilmareis_,2026-05-13 00:31:28+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:55:07+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:54:52+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:54:51+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:54:49+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:54:47+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:54:46+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:54:44+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:54:42+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:54:40+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:54:39+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:54:36+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:54:34+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:54:32+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:54:30+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:54:29+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:54:27+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:54:25+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:54:23+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:54:21+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:54:20+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:54:18+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:54:16+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:54:14+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:54:13+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:54:10+00:00,0
